	faith_pd
CR.20.CE.Day0	15.235158014
CR.20.Stool.Day0	14.10301114
CR.21.CE.Day0	14.059239776999998
CR.21.Stool.Day0	14.354488527000001
CR.22.CE.Day0	13.069616852
CR.22.Stool.Day0	15.4594082
CR.23.CE.Day0	13.422933893
CR.23.Stool.Day0	12.613992338
Env.10.CE.Day1	9.903780395
Env.11.CE.Day1	14.448600064
Env.11.Stool.Day0	17.081279964
Env.12.CE.Day1	14.471524316
Env.12.Stool.Day0	14.642842821
Env.13.CE.Day1	14.585774187
Env.13.Stool.Day0	13.626304326
Evn.10.Stool.Day0	14.106546079
Jax.40.CE.Day1	9.845921956
Jax.40.Stool.Day0	9.534649837
Jax.41.CE.Day1	10.357197255
Jax.41.Stool.Day0	7.672992996
Jax.42.CE.Day1	8.700886645
Jax.42.Stool.Day0	10.476839966
Jax.43.CE.Day1	12.175934522
Jax.43.Stool.Day0	9.149309453
Tac.30.CE.Day1	11.093321176
Tac.30.Stool.Day0	10.386239056
Tac.31.CE.Day1	14.845236044
Tac.31.Stool.Day0	14.031692457000002
Tac.32.CE.Day1	12.079083788999998
Tac.32.Stool.Day0	16.775201729
Tac.33.CE.Day1	15.522255757
Tac.33.Stool.Day0	14.973049787
